Date,Price,MA50,MA200
2022-01-03,183.69,,
2022-01-04,183.33,,
2022-01-05,185.52,,
2022-01-06,190.67,,
2022-01-07,189.97,,
2022-01-10,189.28,,
2022-01-11,194.72,,
2022-01-12,197.46,,
2022-01-13,195.93,,
2022-01-14,197.91,,
2022-01-17,196.39,,
2022-01-18,194.88,,
2022-01-19,195.8,,
2022-01-20,189.4,,
2022-01-21,183.81,,
2022-01-24,182.08,,
2022-01-25,178.94,,
2022-01-26,180.02,,
2022-01-27,177.25,,
2022-01-28,172.97,,
2022-01-31,177.58,,
2022-02-01,176.96,,
2022-02-02,177.26,,
2022-02-03,172.94,,
2022-02-04,171.37,,
2022-02-07,171.79,,
2022-02-08,168.41,,
2022-02-09,169.61,,
2022-02-10,167.91,,
2022-02-11,167.12,,
2022-02-14,165.44,,
2022-02-15,171.01,,
2022-02-16,171.05,,
2022-02-17,167.97,,
2022-02-18,170.51,,
2022-02-21,166.96,,
2022-02-22,167.65,,
2022-02-23,162.03,,
2022-02-24,158.36,,
2022-02-25,158.98,,
2022-02-28,161.14,,
2022-03-01,161.71,,
2022-03-02,161.46,,
2022-03-03,160.68,,
2022-03-04,156.62,,
2022-03-07,154.71,,
2022-03-08,153.54,,
2022-03-09,156.5,,
2022-03-10,157.53,,
2022-03-11,152.78,174.352,
2022-03-14,153.72,173.75259999999997,
2022-03-15,152.76,173.1412,
2022-03-16,151.02,172.4512,
2022-03-17,152.73,171.69240000000002,
2022-03-18,155.6,171.005,
2022-03-21,158.26,170.38460000000003,
2022-03-22,156.0,169.6102,
2022-03-23,155.23,168.7656,
2022-03-24,156.21,167.97119999999998,
2022-03-25,159.0,167.19299999999998,
2022-03-28,157.74,166.42,
2022-03-29,157.3,165.6684,
2022-03-30,154.33,164.83900000000003,
2022-03-31,151.18,164.0746,
2022-04-01,153.44,163.4672,
2022-04-04,157.23,162.9702,
2022-04-05,157.1,162.5334,
2022-04-06,159.98,162.1326,
2022-04-07,161.08,161.8092,
2022-04-08,159.34,161.5366,
2022-04-11,160.43,161.19359999999998,
2022-04-12,164.92,160.9528,
2022-04-13,164.9,160.7056,
2022-04-14,169.59,160.6386,
2022-04-15,162.01,160.4514,
2022-04-18,164.45,160.3046,
2022-04-19,164.78,160.232,
2022-04-20,164.0,160.1198,
2022-04-21,164.34,160.04840000000002,
2022-04-22,158.75,159.881,
2022-04-25,158.22,159.7366,
2022-04-26,159.29,159.5022,
2022-04-27,163.58,159.3528,
2022-04-28,162.16,159.2366,
2022-04-29,159.94,159.0252,
2022-05-02,158.61,158.8582,
2022-05-03,161.27,158.73059999999998,
2022-05-04,162.28,158.7356,
2022-05-05,160.85,158.7854,
2022-05-06,162.39,158.8536,
2022-05-09,162.75,158.8858,
2022-05-10,165.63,158.9642,
2022-05-11,163.67,159.0084,
2022-05-12,162.8,159.0508,
2022-05-13,161.76,159.1536,
2022-05-16,157.71,159.2136,
2022-05-17,158.61,159.315,
2022-05-18,159.42,159.3734,
2022-05-19,159.51,159.413,
2022-05-20,158.93,159.53599999999997,
2022-05-23,155.08,159.56320000000002,
2022-05-24,154.01,159.5882,
2022-05-25,153.16,159.63099999999997,
2022-05-26,151.08,159.598,
2022-05-27,150.72,159.50039999999998,
2022-05-30,151.87,159.3726,
2022-05-31,157.08,159.39419999999998,
2022-06-01,157.64,159.4424,
2022-06-02,158.43,159.48680000000002,
2022-06-03,158.3,159.4728,
2022-06-06,153.11,159.3802,
2022-06-07,153.11,159.2964,
2022-06-08,153.34,159.2766,
2022-06-09,160.23,159.4576,
2022-06-10,159.76,159.584,
2022-06-13,160.69,159.6532,
2022-06-14,160.67,159.7246,
2022-06-15,157.47,159.6744,
2022-06-16,160.75,159.6678,
2022-06-17,162.97,159.7404,
2022-06-20,165.34,159.8386,
2022-06-21,162.79,159.796,
2022-06-22,166.94,159.8368,
2022-06-23,162.95,159.704,
2022-06-24,164.72,159.7582,
2022-06-27,171.29,159.895,
2022-06-28,168.4,159.9674,
2022-06-29,166.81,160.0236,
2022-06-30,167.18,160.0804,
2022-07-01,165.78,160.22099999999998,
2022-07-04,161.39,160.2844,
2022-07-05,161.66,160.33180000000002,
2022-07-06,158.73,160.2348,
2022-07-07,160.14,160.19439999999997,
2022-07-08,157.64,160.1484,
2022-07-11,162.09,160.21800000000002,
2022-07-12,159.94,160.1914,
2022-07-13,159.11,160.12800000000001,
2022-07-14,161.48,160.1406,
2022-07-15,158.09,160.05460000000002,
2022-07-18,158.8,159.97560000000001,
2022-07-19,162.58,159.9146,
2022-07-20,158.11,159.8034,
2022-07-21,158.71,159.7216,
2022-07-22,159.51,159.6766,
2022-07-25,161.8,159.7584,
2022-07-26,158.39,159.754,
2022-07-27,154.81,159.6618,
2022-07-28,156.32,159.59799999999998,
2022-07-29,157.22,159.56380000000001,
2022-08-01,157.99,159.62199999999999,
2022-08-02,159.03,159.7224,
2022-08-03,157.21,159.8034,
2022-08-04,157.93,159.94039999999998,
2022-08-05,158.82,160.1024,
2022-08-08,156.91,160.2032,
2022-08-09,162.24,160.3064,
2022-08-10,163.68,160.4272,
2022-08-11,160.35,160.4656,
2022-08-12,162.3,160.5456,
2022-08-15,159.6,160.6754,
2022-08-16,161.91,160.8514,
2022-08-17,165.33,161.09120000000001,
2022-08-18,163.04,161.1474,
2022-08-19,165.91,161.2704,
2022-08-22,167.2,161.4006,
2022-08-23,169.72,161.5816,
2022-08-24,175.58,161.9438,
2022-08-25,174.91,162.227,
2022-08-26,172.68,162.4212,
2022-08-29,170.07,162.5158,
2022-08-30,167.72,162.61440000000002,
2022-08-31,167.57,162.62699999999998,
2022-09-01,168.67,162.7414,
2022-09-02,169.57,162.8384,
2022-09-05,172.15,162.8556,
2022-09-06,172.27,162.933,
2022-09-07,176.83,163.1334,
2022-09-08,176.09,163.3116,
2022-09-09,184.83,163.6926,
2022-09-12,186.97,164.20420000000001,
2022-09-13,184.25,164.65600000000003,
2022-09-14,180.89,165.0992,
2022-09-15,182.52,165.5468,
2022-09-16,181.89,166.0318,
2022-09-19,184.28,166.47560000000001,
2022-09-20,185.92,166.9952,
2022-09-21,185.77,167.5284,
2022-09-22,183.1,167.9608,
2022-09-23,178.36,168.3662,
2022-09-26,177.04,168.73100000000002,
2022-09-27,179.82,169.07580000000002,
2022-09-28,180.59,169.52540000000002,
2022-09-29,176.75,169.8862,
2022-09-30,177.37,170.2434,
2022-10-03,178.67,170.58079999999998,
2022-10-04,175.99,170.9328,
2022-10-05,176.55,171.3676,
2022-10-06,176.81,171.77739999999997,
2022-10-07,173.37,172.1004,166.38805
2022-10-10,174.55,172.4316,166.34235
2022-10-11,176.37,172.7784,166.30755000000002
2022-10-12,179.86,173.2314,166.27925
2022-10-13,183.32,173.7392,166.2425
2022-10-14,179.0,174.14280000000002,166.18765
2022-10-17,176.15,174.5276,166.122
2022-10-18,177.84,174.83960000000002,166.0376
2022-10-19,179.54,175.1568,165.94799999999998
2022-10-20,181.27,175.5752,165.87470000000002
2022-10-21,194.11,176.21140000000003,165.85569999999998
2022-10-24,196.17,176.94280000000003,165.8546
2022-10-25,200.23,177.7092,165.88135
2022-10-26,203.73,178.4772,165.921
2022-10-27,206.18,179.34,166.00490000000002
2022-10-28,205.13,180.12439999999998,166.11149999999998
2022-10-31,208.0,180.94039999999998,166.24110000000002
2022-11-01,205.28,181.6516,166.37279999999998
2022-11-02,204.52,182.2304,166.4953
2022-11-03,202.87,182.78959999999998,166.6234
2022-11-04,203.26,183.4012,166.77485000000001
2022-11-07,211.83,184.2364,166.9461
2022-11-08,205.07,184.9834,167.08665000000002
2022-11-09,207.66,185.78519999999997,167.23865
2022-11-10,201.94,186.45059999999998,167.38365
2022-11-11,200.36,187.0664,167.5286
2022-11-14,204.34,187.71020000000001,167.69135000000003
2022-11-15,204.67,188.3582,167.87265
2022-11-16,200.91,188.8398,168.02914999999996
2022-11-17,198.49,189.28779999999998,168.18205
2022-11-18,200.98,189.61079999999998,168.35135
2022-11-21,198.5,189.8414,168.51664999999997
2022-11-22,199.35,190.1434,168.65834999999998
2022-11-23,199.61,190.51780000000002,168.80114999999998
2022-11-24,197.42,190.81580000000002,168.9484
2022-11-25,205.13,191.28060000000002,169.12150000000003
2022-11-28,207.53,191.74560000000002,169.32434999999998
2022-11-29,200.35,192.03419999999997,169.48785
2022-11-30,201.1,192.34079999999997,169.68320000000003
2022-12-01,198.86,192.65599999999998,169.88569999999999
2022-12-02,201.97,193.1282,170.10064999999997
2022-12-05,199.26,193.5726,170.29125
2022-12-06,198.95,193.9552,170.47744999999998
2022-12-07,200.83,194.36,170.67430000000002
2022-12-08,204.02,194.90540000000001,170.89100000000002
2022-12-09,199.84,195.35480000000004,171.1071
2022-12-12,198.76,195.7566,171.32735
2022-12-13,197.19,196.18060000000003,171.5456
2022-12-14,195.03,196.55020000000002,171.73825
2022-12-15,201.29,197.03979999999999,171.95705
2022-12-16,202.83,197.629,172.2073
2022-12-19,198.46,198.1072,172.43099999999998
2022-12-20,201.8,198.61579999999998,172.6762
2022-12-21,209.6,199.2106,172.9691
2022-12-22,213.55,199.81519999999998,173.2732
2022-12-23,208.0,200.39519999999996,173.5352
2022-12-26,206.33,200.99879999999996,173.77555
2022-12-27,211.09,201.66379999999998,174.051
2022-12-28,208.57,202.2444,174.3177
2022-12-29,210.31,202.8252,174.5882
2022-12-30,213.31,203.20919999999998,174.85975000000002
2023-01-02,209.95,203.4848,175.12079999999997
2023-01-03,209.83,203.67680000000001,175.38345
2023-01-04,198.26,203.56740000000002,175.6031
2023-01-05,194.81,203.34,175.82125
2023-01-06,194.03,203.11800000000002,176.02419999999998
2023-01-09,189.9,202.75600000000003,176.18755000000002
