Date,Price,MA50,MA200
2022-01-03,340.12,,
2022-01-04,338.82,,
2022-01-05,339.38,,
2022-01-06,342.35,,
2022-01-07,334.23,,
2022-01-10,331.66,,
2022-01-11,336.03,,
2022-01-12,329.65,,
2022-01-13,331.38,,
2022-01-14,324.57,,
2022-01-17,327.15,,
2022-01-18,327.17,,
2022-01-19,319.14,,
2022-01-20,325.24,,
2022-01-21,321.69,,
2022-01-24,317.8,,
2022-01-25,319.0,,
2022-01-26,325.01,,
2022-01-27,320.05,,
2022-01-28,320.55,,
2022-01-31,322.91,,
2022-02-01,326.65,,
2022-02-02,327.75,,
2022-02-03,326.06,,
2022-02-04,322.03,,
2022-02-07,322.66,,
2022-02-08,317.44,,
2022-02-09,303.35,,
2022-02-10,305.63,,
2022-02-11,310.19,,
2022-02-14,299.04,,
2022-02-15,294.5,,
2022-02-16,297.56,,
2022-02-17,307.54,,
2022-02-18,307.83,,
2022-02-21,304.5,,
2022-02-22,303.8,,
2022-02-23,310.64,,
2022-02-24,307.68,,
2022-02-25,304.01,,
2022-02-28,301.89,,
2022-03-01,297.56,,
2022-03-02,298.32,,
2022-03-03,306.23,,
2022-03-04,307.98,,
2022-03-07,306.94,,
2022-03-08,305.71,,
2022-03-09,298.46,,
2022-03-10,302.82,,
2022-03-11,302.62,316.42580000000004,
2022-03-14,301.95,315.6624,
2022-03-15,317.71,315.2402,
2022-03-16,319.4,314.8406,
2022-03-17,315.82,314.31,
2022-03-18,313.9,313.9034,
2022-03-21,319.82,313.6666,
2022-03-22,320.58,313.3576,
2022-03-23,313.58,313.0362,
2022-03-24,318.35,312.7756,
2022-03-25,315.2,312.5882,
2022-03-28,324.83,312.5418,
2022-03-29,330.6,312.6104,
2022-03-30,328.48,312.79720000000003,
2022-03-31,335.37,312.9998,
2022-04-01,335.93,313.2846,
2022-04-04,340.67,313.742,
2022-04-05,343.49,314.2318,
2022-04-06,339.14,314.5144,
2022-04-07,335.92,314.8318,
2022-04-08,341.62,315.2532,
2022-04-11,340.03,315.5956,
2022-04-12,338.07,315.824,
2022-04-13,333.22,315.9334,
2022-04-14,335.65,316.1252,
2022-04-15,346.94,316.6234,
2022-04-18,341.36,316.9974,
2022-04-19,341.69,317.48240000000004,
2022-04-20,349.59,318.4072,
2022-04-21,349.36,319.2818,
2022-04-22,352.06,320.11920000000003,
2022-04-25,346.43,321.06699999999995,
2022-04-26,348.98,322.1566,
2022-04-27,348.16,323.1686,
2022-04-28,353.82,324.0942,
2022-04-29,360.71,325.1518,
2022-05-02,375.95,326.5808,
2022-05-03,379.62,328.0972,
2022-05-04,381.8,329.5204,
2022-05-05,383.2,331.0308,
2022-05-06,381.3,332.5766,
2022-05-09,383.57,334.21020000000004,
2022-05-10,382.02,335.89939999999996,
2022-05-11,383.26,337.5982,
2022-05-12,391.53,339.3042,
2022-05-13,385.6,340.8566,
2022-05-16,392.82,342.5742000000001,
2022-05-17,401.29,344.4857999999999,
2022-05-18,400.78,346.5322,
2022-05-19,387.84,348.23260000000005,
2022-05-20,384.38,349.8678,
2022-05-23,392.54,351.6796,
2022-05-24,392.63,353.17800000000005,
2022-05-25,386.73,354.52459999999996,
2022-05-26,383.9,355.88620000000003,
2022-05-27,389.25,357.3932,
2022-05-30,392.85,358.8538,
2022-05-31,391.6,360.2742,
2022-06-01,389.58,361.7942,
2022-06-02,387.42,363.1756,
2022-06-03,382.06,364.51279999999997,
2022-06-06,392.13,365.85880000000003,
2022-06-07,390.38,367.05439999999993,
2022-06-08,398.17,368.4482,
2022-06-09,408.07,369.9022,
2022-06-10,414.78,371.4792,
2022-06-13,412.22,372.9102,
2022-06-14,415.09,374.3422,
2022-06-15,415.18,375.86300000000006,
2022-06-16,409.56,377.3358,
2022-06-17,411.9,378.7414,
2022-06-20,404.57,380.0322,
2022-06-21,412.45,381.51980000000003,
2022-06-22,409.69,383.0492,
2022-06-23,411.23,384.56080000000003,
2022-06-24,413.32,385.88840000000005,
2022-06-27,411.88,387.29879999999997,
2022-06-28,415.95,388.784,
2022-06-29,413.1,390.05420000000004,
2022-06-30,419.05,391.44800000000004,
2022-07-01,410.51,392.61699999999996,
2022-07-04,411.57,393.91979999999995,
2022-07-05,424.58,395.4318,
2022-07-06,418.2,396.8326,
2022-07-07,414.0,398.0362,
2022-07-08,417.62,399.17440000000005,
2022-07-11,419.05,400.0364,
2022-07-12,421.62,400.8764,
2022-07-13,425.13,401.74300000000005,
2022-07-14,429.66,402.67220000000003,
2022-07-15,437.5,403.7962,
2022-07-18,440.59,404.93659999999994,
2022-07-19,439.18,406.07980000000003,
2022-07-20,444.12,407.29699999999997,
2022-07-21,457.88,408.624,
2022-07-22,457.2,410.056,
2022-07-25,450.5,411.20959999999997,
2022-07-26,458.7,412.35780000000005,
2022-07-27,458.1,413.50419999999997,
2022-07-28,442.96,414.60659999999996,
2022-07-29,449.18,415.9026,
2022-08-01,445.67,416.96520000000004,
2022-08-02,445.3,418.0186,
2022-08-03,447.9,419.24199999999996,
2022-08-04,449.52,420.55439999999993,
2022-08-05,454.84,421.86619999999994,
2022-08-08,452.0,423.0492,
2022-08-09,455.94,424.33600000000007,
2022-08-10,454.35,425.6314,
2022-08-11,459.94,427.0818,
2022-08-12,464.69,428.73440000000005,
2022-08-15,458.17,430.05519999999996,
2022-08-16,466.35,431.5746000000001,
2022-08-17,462.71,432.8654,
2022-08-18,468.91,434.0822,
2022-08-19,471.91,435.2248,
2022-08-22,486.06,436.70160000000004,
2022-08-23,484.64,438.0926,
2022-08-24,482.27,439.43440000000004,
2022-08-25,482.41,440.8914,
2022-08-26,480.4,442.2614,
2022-08-29,486.78,443.90560000000005,
2022-08-30,474.83,445.15319999999997,
2022-08-31,467.29,446.3052,
2022-09-01,459.77,447.276,
2022-09-02,466.98,448.3492,
2022-09-05,480.02,449.71200000000005,
2022-09-06,479.52,450.9834,
2022-09-07,478.53,452.292,
2022-09-08,479.34,453.4978,
2022-09-09,488.48,455.0572,
2022-09-12,481.69,456.45959999999997,
2022-09-13,483.79,457.6438,
2022-09-14,491.57,459.11119999999994,
2022-09-15,495.76,460.7464,
2022-09-16,497.53,462.3446,
2022-09-19,505.74,464.0784,
2022-09-20,484.95,465.345,
2022-09-21,490.45,466.65139999999997,
2022-09-22,485.71,467.7724,
2022-09-23,472.19,468.4662,
2022-09-26,476.29,469.18019999999996,
2022-09-27,486.99,470.1364,
2022-09-28,486.23,470.97860000000003,
2022-09-29,493.88,471.6986,
2022-09-30,506.88,472.6922,
2022-10-03,517.79,474.03799999999995,
2022-10-04,531.66,475.49719999999996,
2022-10-05,538.23,477.09979999999996,
2022-10-06,539.19,479.0244,
2022-10-07,526.07,480.5622,390.6896
2022-10-10,524.35,482.13579999999996,391.61075000000005
2022-10-11,517.74,483.58459999999997,392.50534999999996
2022-10-12,536.06,485.34780000000006,393.48875
2022-10-13,534.9,487.0554,394.4515
2022-10-14,536.26,488.6838,395.46165
2022-10-17,541.26,490.469,396.50965
2022-10-18,541.95,492.18919999999997,397.53925000000004
2022-10-19,556.94,494.241,398.6757
2022-10-20,551.84,496.079,399.778
2022-10-21,553.86,497.8624,400.92445
2022-10-24,547.75,499.654,402.02745000000004
2022-10-25,536.8,501.06299999999993,403.07560000000007
2022-10-26,531.97,502.4482,404.13975000000005
2022-10-27,531.97,503.7094,405.1734
2022-10-28,528.7,504.8452,406.20845
2022-10-31,523.28,505.5896,407.23584999999997
2022-11-01,512.12,506.13919999999996,408.20144999999997
2022-11-02,511.76,506.7289999999999,409.13519999999994
2022-11-03,500.07,507.08219999999994,410.0353
2022-11-04,506.39,507.60200000000003,410.9645
2022-11-07,507.35,508.0134,411.8867000000001
2022-11-08,496.14,508.4396,412.73415
2022-11-09,494.02,508.9742,413.56549999999993
2022-11-10,488.49,509.5486,414.37765
2022-11-11,491.25,510.034,415.22375
2022-11-14,502.03,510.4742,416.12059999999997
2022-11-15,487.71,510.638,416.97195
2022-11-16,488.88,510.845,417.89959999999996
2022-11-17,487.94,511.017,418.81115
2022-11-18,493.42,511.11580000000004,419.72729999999996
2022-11-21,495.38,511.3896,420.709
2022-11-22,489.84,511.51059999999995,421.6857
2022-11-23,487.67,511.43260000000004,422.63625
2022-11-24,481.88,511.155,423.50795
2022-11-25,490.41,511.0126,424.42085
2022-11-28,490.87,510.71520000000004,425.35269999999997
2022-11-29,506.09,511.13800000000003,426.36415
2022-11-30,505.9,511.44699999999995,427.34045
2022-12-01,500.59,511.7446,428.305
2022-12-02,489.09,512.0826,429.23040000000003
2022-12-05,475.68,512.0704000000001,430.0993500000001
2022-12-06,464.23,511.61519999999996,430.93269999999995
2022-12-07,466.47,511.22,431.77345
2022-12-08,470.5,510.75239999999997,432.5948
2022-12-09,459.2,509.79879999999997,433.35089999999997
2022-12-12,466.0,508.76300000000003,434.1462
2022-12-13,462.74,507.3846000000001,434.93135
2022-12-14,464.09,505.9018,435.75949999999995
2022-12-15,476.31,504.64419999999996,436.62695
2022-12-16,483.37,503.79019999999997,437.5307
2022-12-19,481.62,502.9356,438.42904999999996
2022-12-20,475.19,502.08459999999997,439.21645000000007
2022-12-21,459.63,500.556,439.91759999999994
2022-12-22,454.72,498.95239999999995,440.6121
2022-12-23,453.48,497.2968,441.31
2022-12-26,446.75,495.4066,441.94465
2022-12-27,446.1,493.4896,442.57225
2022-12-28,446.9,491.28880000000004,443.23885
2022-12-29,445.59,489.16380000000004,443.87505000000004
2022-12-30,441.31,486.9128,444.50559999999996
2023-01-02,442.75,484.8128,445.09520000000003
2023-01-03,446.11,482.999,445.67275
2023-01-04,438.77,481.135,446.22420000000005
2023-01-05,448.9,479.4735999999999,446.79184999999995
2023-01-06,448.47,477.869,447.35455
2023-01-09,448.87,476.38079999999997,447.89555
2023-01-10,454.17,475.22180000000003,448.44894999999997
2023-01-11,456.12,474.10900000000004,449.03385000000003
